"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","EE_RATIO","COOL_CAP_KW","COOL_CAP_BTU","PROD_CLASS_LABEL_EN","PROD_CLASS_LABEL_FR","HEAT_ELEMENT_LABEL_EN","HEAT_ELEMENT_LABEL_FR","VOLTAGE_LABEL_EN","VOLTAGE_LABEL_FR","ENERGUIDE_LABEL_EN","ENERGUIDE_LABEL_FR","REVERSE_CYCLES_LABEL_EN","REVERSE_CYCLES_LABEL_FR","AMPS"
8795267,"MWK-15CRN1-BK2","Koolking",11.2,4.392,15000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",
8795268,"MWK-18CRN1-MK2","Koolking",11.2,5.417,18500,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",
8795269,"MWK-25CRN1-MI8","Koolking",9.8,7.32,25000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",
8795270,"MWW-08CRN1-BI8","Koolking",9.8,2.342,8000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","120","120","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",
8795271,"MWW-10CRN1-BI8","Koolking",9.8,2.928,10000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","120","120","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",
8799101,"CP10G10A","Friedrich",11.3,2.928,10000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",8.5
8799102,"CP12G10A","Friedrich",11.3,3.514,12000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",9.7
8799103,"CP15G10A","Friedrich",11.2,4.392,15000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",12
8799104,"CP18G30A","Friedrich",11.2,5.271,18000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.3
8799105,"CP24G30A","Friedrich",9.8,6.881,23500,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",10.9
8799106,"EP08G11A","Friedrich",9.8,2.342,8000,"louvered","appareils à évents lame","with electric heating elements","dotée d'éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.5
8799107,"EP12G33A","Friedrich",9.8,3.514,12000,"louvered","appareils à évents lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",5.5
8799108,"EP18G33A","Friedrich",9.7,5.271,18000,"louvered","appareils à évents lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",8.3
8799109,"EP24G33A","Friedrich",8.5,6.881,23500,"louvered","appareils à évents lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",12.2
8799110,"US08D10B","Friedrich",9.8,2.342,8000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","120","120","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.4
8799111,"US10D10B","Friedrich",9.8,2.87,9800,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","120","120","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",9.2
8799112,"US10D30B","Friedrich",9.8,2.928,10000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",4.7
8799113,"US12D10B","Friedrich",9.8,3.367,11500,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","120","120","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",10.7
