"REF_DATE","GEO","DGUID","Air conditioners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Peterborough, Ontario","2011S0503529","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709680","26.4","","F","","","0"
"2013","Peterborough, Ontario","2011S0503529","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709681","26.5","","F","","","0"
"2013","Oshawa, Ontario","2011S0503532","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709682","27.1","88","","","","0"
"2013","Oshawa, Ontario","2011S0503532","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709683","27.2","80","","","","0"
"2013","Oshawa, Ontario","2011S0503532","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709684","27.3","90","","","","0"
"2013","Oshawa, Ontario","2011S0503532","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709685","27.4","","F","","","0"
"2013","Oshawa, Ontario","2011S0503532","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709686","27.5","","F","","","0"
"2013","Toronto, Ontario","2011S0503535","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709687","28.1","81","","","","0"
"2013","Toronto, Ontario","2011S0503535","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709688","28.2","67","","","","0"
"2013","Toronto, Ontario","2011S0503535","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709689","28.3","83","","","","0"
"2013","Toronto, Ontario","2011S0503535","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709690","28.4","14","","","","0"
"2013","Toronto, Ontario","2011S0503535","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709691","28.5","17","","","","0"
"2013","Hamilton, Ontario","2011S0503537","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709692","29.1","82","","","","0"
"2013","Hamilton, Ontario","2011S0503537","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709693","29.2","62","","","","0"
"2013","Hamilton, Ontario","2011S0503537","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709694","29.3","75","","","","0"
"2013","Hamilton, Ontario","2011S0503537","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709695","29.4","21","E","","","0"
"2013","Hamilton, Ontario","2011S0503537","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709696","29.5","25","E","","","0"
"2013","St. Catharines-Niagara, Ontario","2011S0503539","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709697","30.1","91","","","","0"
